Designator,Footprint,Quantity,Value,LCSC Part #
AE2,Coilcraft_MA5532-AE_RFID,1,Antenna_Loop,
BZ1,Buzzer_15x7.5RM7.6,1,Buzzer,
"C1, C11, C4, C6",0402,4,0.1uF,
C10,0402,1,10uF,
"C12, C3, C7",0402,3,1uF,
C13,0402,1,100nF,
"C14, C15",0402,2,15pF,
C2,0402,1,47uF,
C5,0402,1,4.7uF,
C8,0402,1,220pF,
C9,0402,1,100pF,
D1,0402,1,D_Schottky,
D2,0402,1,D,
D3,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,
D4,D_SMA,1,D_TVS,
FB1,0402,1,FerriteBead_Small,
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,
J2,PinHeader_1x02_P1.00mm_Vertical,1,Conn_01x02_Pin,
J3,PinHeader_1x08_P1.00mm_Vertical,1,Conn_01x08,
K1,Relay_SPDT_Finder_34.51_Vertical,1,Relay_SPDT,
L1,0402,1,4.7uH,
Q1,SOT-23,1,PMOS,
Q2,SOT-23,1,Q_NMOS,
"R1, R2",0402,2,5.1k,
"R10, R11, R12, R3, R8",0402,5,10k,
R13,0402,1,330,
R14,0402,1,220,
"R4, R6, R7",0402,3,100k,
R5,0402,1,56k,
R9,0402,1,1.8k,
SW1,SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS,1,RESET,
SW2,SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS,1,BOOT,
SW3,SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS,1,USER_INPUT,
U1,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,
U2,TSOT-23-6,1,AP63203WU,
U3,HVQFN-40-1EP_6x6mm_P0.5mm_EP4.1x4.1mm,1,PN5321A3HN_C1xx,
Y1,Crystal_HC49-U-3Pin_Vertical,1,27.12MHz,
